TESTCABLE,PRODUCT,PARTNUMBER
R1_090_1,O2_01_A,ITS4107R32-17P
R1_090_2,O2_01_B,ITS4107R32-17P
R1_090_3,O2_01_C,ITS4107R32-17P
R1_090_4,O2_01_D,ITS4107R32-17P
R1_090_5,O2_02_A,ITS4107R-24-9S
R1_090_6,O2_02_B,ITS4107R-24-9S
R1_090_7,O2_03_A,ITS4107R24-12SB1CE
R1_090_8,O2_03_C,ITS4107R24-12SB1CE
R1_092_1,O2_04,D38999/24WH35SN
R1_157_2,O2_05,D38999/24WF32SN
R1_061_1,O2_06,D38999/24WE26SN
R1_107_1,O2_07,D38999/24WE35SN
R1_054_1,O2_08,D38999/24WD35PN
R1_058_2,O2_09,D38999/24WD19SN
R1_049_1,O2_10,D38999/24WE35PN
R1_079_2,O2_11,D38999/24WD35SN
